[0]:  «Сол-6»
[1732]:  Корабль, оставшись неуправляемым, самопроизвольно клюнул носом, едва успев перемахнуть через крайне глубокого каньона.
[1739]:  А потом они встретились с поверхностью, и в корабле уже не было энергии ни на выпуск шасси, ни на управление, ни на что.
[1747]:  С грохотом, перекрывшим даже вой пыльной бури, корабль на полной скорости хлопнулся брюхом об инопланетную почву
[1754]:  и заскользил, вздымая перед собой валы с пыли и мелких камышков.
[1759]:  Попадавшиеся навстречу крупные камни снесли его короткие крылья плавники, закрутив корабль сперва в одну, затем в другую сторону,
[1767]:  но прямо по курсу ни одного волуна, к счастью, не оказалось.
[1771]:  Постепенно под кораблем образовалась пологая насыпь, и нос начал зарываться в грунт, сильнее тормозя аппарат.
[1778]:  И наконец, с последним стоном измученного металла, корабль вздрогнул и замер, оставив за собой борозду длиной в несколько километров.
[1786]:  Картинка ХТП Э.
[1788]:  Сю.
[1789]:  Дерпи Сиден.
[1791]:  Зочкнет.
[1792]:  Ш.
[1792]:  МГ.
[1793]:  2019.
[1795]:  6.
[1796]:  16.
[1797]:  2006.
[1798]:  Си.
[1799]:  Сиес 61 Лардж.
[1803]:  ПНГ.
[1805]:  Пять космических путешественников, надежно упакованные в скафандры, выжили, но их корабль лишился энергии, воздуха, воды и магии.
[1815]:  А когда они пришли в себя, то все пятеро заметили на встроенных в шлемы курсовых дисплеях мигающий огонек.
[1823]:  Последний человек на Марсе сидел один в своем жилище и печатал.
[1827]:  Вот такова ситуация.
[1829]:  Я застрял на Марсе.
[1831]:  У меня нет возможности общаться с Гермесом или Землей.
[1834]:  Все думают, что я мертв.
[1836]:  Я нахожусь в доме, рассчитанном на 31 день.
[1839]:  Если оксигенатор сломается, я задохнусь.
[1843]:  Если очиститель воды сломается, я умру от жажды.
[1847]:  Если дом порвется, я просто взорвусь.
[1850]:  Если ничего из этого не произойдет, у меня в конце концов закончится еда, и я умру голодной смертью.
[1856]:  Так что да, я в жопе.
[1859]:  Он сделал паузу, решив, что это весьма подходящее место для завершения записи в журнале,
[1864]:  и переместил курсор на кнопку сохранения.
[1867]:  Раздался стук в дверь.
[1869]:  Его пальцы вернулись к клавиатуре.
[1872]:  И, видимо, я уже схожу с ума.
[1875]:  Должно быть потеря крови.
[1877]:  Мне кажется, что только что слышал, как кто-то постучался в дверь первого воздушного шлюза.
[1882]:  Но это невозможно, потому что все остальные улетели на МАВ, а эта поездка в один конец.
[1888]:  Раздался еще один стук, куда как более настойчивый.
[1892]:  Ибена мать, это случилось снова.
[1895]:  Что-то на самом деле стучит в дверь шлюза.
[1898]:  Марк Вотни сохранил запись, встал со стула, стараясь не обращать внимание на недавно зашитую рану на боку,
[1905]:  и пошел, чтобы ответить на него.
[1908]:  Примечания автора.
[1909]:  Спаркл Двигатель описывает принцип работы FTL-движителя из H-T-X-P-L,
[1917]:  Jitchie Ponyfiction touched a Orc,
[1920]:  Story B-T-5-C-A-S-O-3,
[1924]:  Стрелы 18,
[1925]:  Автора — Адмирал Тайгер Клау,
[1928]:  Одной из моих любимых историй на фильм-фикшн.
[1931]:  На тех же принципах в том фанфике работает телекинез, но у нас с этим все не так.
[1936]:  Вам не нужно предварительно читать космическую программу Чейнджлингов,
[1940]:  чтобы понимать происходящее в этой истории.
[1943]:  Однако, я настоятельно рекомендую вам приобрести экземпляр книги Энди Вейра Марсианин.
[1949]:  Во-первых, это замечательная книга, а во-вторых, я опираюсь именно на нее, а не на фильм.
[1955]:  В фильме Уотни было куда проще, чем в книге.
[1958]:  Я намеренно избегаю повтора сцен, описанных в книге,
[1961]:  так что прямое цитирование в конце этой главы может считаться исключением.
[1965]:  Конечно, добавление пяти пони — трех пони Чейнджлинга и драконоприм переулок —
[1970]:  почти полностью меняют проблемы, встающие перед Уотни,
[1974]:  а это означает, что происходящее будет в значительной мере другим.
[1978]:  Но ему все равно придется решать ежедневные проблемы с воздухом,
[1981]:  водой, пищей, теплом, связью, возвращение домой там,
[1986]:  и, конечно же, проблему здравого рассудка.
[1989]:  Некоторые главы будут длинными, хотя ни одна из них не будет такой длинной,
[1993]:  как самые длинные главы Капуча, а некоторые — очень короткими.
[1997]:  Каждая глава будет днем, вернее, солом, жизни героев.
[2002]:  И поскольку это кажется достаточно разумным,
[2005]:  я собираюсь попытаться публиковать по одной главе в день,
[2008]:  даже когда я нахожусь в командировках по делам.
[2011]:  Надеюсь, я смогу продолжать в том же духе.
[2013]:  Посмотрим.
[2015]:  Если вам понравилось, вот мой патреон.
[2020]:  Wabavy.patreon.com
[2024]:  Chris Over Street.
[2026]:  Серьезно.
[2027]:  Я не могу тратить на этом много времени,
[2029]:  если приходится заниматься другими делами,
[2032]:  которые помогают оплачивать счета и кредиты,
[2034]:  поэтому ваши взносы означают больше глав пропоне.
[2039]:  Sol 7.
[2041]:  В то время, что должно было быть утром седьмого сола,
[2044]:  а вместо этого стало послеполуденным временем 131-го дня миссии,
[2049]:  марсианский взлетный модуль, МВМ,
[2052]:  с пятью выжившими членами экспедиции,
[2055]:  а Рэс 3-й пришвартовался к Гермесу судну,
[2058]:  которая доставила их на Марс
[2060]:  и которая доставит их обратно на Землю.
[2063]:  Протокол НАСА на случай досрочного прерывания миссии,
[2066]:  подобного тому, что и произошло с ними,
[2068]:  был однозначен, и такие ситуации были не раз отработаны
[2072]:  за годы обучения команды.
[2075]:  Выгрузить образцы пород,
[2076]:  взятые прямо на месте посадки и загруженные в МВМ
[2080]:  еще на второй Сол,
[2081]:  чтобы миссия не была полностью провальной
[2083]:  при любом ходе событий 25 килограммов,
[2086]:  или примерно 1,20 от того,
[2089]:  что они собрали бы при штатном завершении миссии.
[2092]:  Отстыковать МВМ, запрограммировав его на автономный полет,
[2096]:  что превратит его в еще один спутник-ретранслятор
[2099]:  на марсианской орбите.
[2102]:  А затем Гермес приступит к первому
[2105]:  из заранее рассчитанных маневров,
[2107]:  чтобы как можно быстрее отправиться в свой долгий путь
[2110]:  до Земли, чем раньше корабль покинет орбиту Марса,
[2113]:  тем меньше времени и энергии потребуется ему на эту дорогу.
[2117]:  Сначала МВМ покинула Бетт Йоханссон,
[2120]:  оператор компьютерных систем миссии,
[2122]:  а заодно и инженер-электронщик.
[2124]:  Ее задачей было осмотреть Гермес и убедиться,
[2128]:  что самый дорогой корабль, когда-либо построенный человечеством,
[2131]:  был готов к полету.
[2133]:  В теории, у нее должен был быть напарник
[2135]:  для помощи с осмотром и проверками,
[2138]:  но обстоятельства изменились.
[2140]:  Далее вышел Александр Фогель
[2142]:  из Европейского космического агентства,
[2144]:  химик и штурман миссии.
[2146]:  Немецкий ученый толкал перед собой
[2148]:  один из двух пластиковых контейнеров
[2150]:  с образцами камня и почвы,
[2152]:  направляясь к научной лаборатории,
[2154]:  где образцы и будут храниться.
[2156]:  Это, строго говоря, была не его обязанность,
[2159]:  но опять-таки обстоятельства изменились.
[2163]:  Майор военно-воздушных сил США Рик Мартинес,
[2167]:  пилот миссии и второй после командира,
[2169]:  шел следующим, толкая второй контейнер для образцов.
[2173]:  Мартинес был главным шутником команды,
[2176]:  хотя и не приступал определенных границ,
[2178]:  и обожал отыгрывать образ стереотипного бесшабашного летчика.
[2182]:  Но сегодня он был настолько мрачным и сосредоточенным,
[2186]:  что любой сержант был бы доволен.
[2188]:  Он спас МВМ от опрокидывания во время невиданно мощной бури,
[2192]:  которая и заставила их прервать миссию,
[2195]:  и он выполнит любые орбитальные маневры,
[2197]:  необходимые для отправки Гермеса, домой.
[2201]:  Что он при этом думал и чувствовал,
[2203]:  не должно было влиять на работу.
[2205]:  Наконец, неохотно появились последние два члена экипажа.
[2209]:  Командор военно-морского флота США,
[2211]:  командир и геолог миссии Мелиса Льюис,
[2214]:  проплыла через шлюз, а за ней следовал Крис Бек,
[2218]:  врач миссии и специалист по наружным работам.
[2221]:  Льюис не сказала ни слова,
[2223]:  когда Фогель предложил забрать образцы почвы
[2225]:  в лабораторию вместо нее.
[2227]:  Она вообще молчала почти все время
[2229]:  после приказа о старте МВМ.
[2232]:  Бек, обеспокоенный ее психическим здоровьем,
[2235]:  решил держаться к ней поближе,
[2237]:  по крайней мере пока Гермес не завершит орбитальный маневр,
[2241]:  выводящий его к Земле маневр,
[2243]:  который потребует три витка вокруг Марса
[2246]:  и займет большую часть дня.
[2248]:  Льюис едва замечала его, и ей это было безразлично,
[2252]:  однако достаточно осознавала ситуацию,
[2255]:  чтобы обеспокоиться собственным безразличием.
[2259]:  «Мелиса?» Соберись, упрекнула она себя.
[2262]:  «Ты командир миссии, и у тебя есть еще четыре других астронавта,
[2266]:  которых требуется безопасно вернуть домой.
[2268]:  Они зависят от твоей собранности, духа и морали.
[2272]:  Им нужна уверенность прямо сейчас,
[2274]:  а не капитан, сунувший голову в песок».
[2277]:  Да уж, четыре других астронавта, 5 минус 1,
[2281]:  ее мысли все еще крутились вокруг пустого шестого лажемента в МВМ,
[2285]:  который был предназначен для Марка Уотни,
[2288]:  инженера миссии и ботаника.
[2290]:  Но Йоханссон видела, как в Оотни врезалась сорванная антенна,
[2294]:  да и его биодатчик показал отсутствие признаков жизни,
[2297]:  прежде чем удая и сам умер.
[2299]:  Но это не оправдание.
[2301]:  Я должна была вернуть пятерых астронавтов, а не четырех.
[2304]:  Я провалила свою задачу.
[2307]:  Странная авария.
[2309]:  Странный шторм.
[2311]:  Я нарушила протокол эмиссии, пытаясь найти его.
[2314]:  Я сделала все возможное.
[2317]:  Но сделала ли я?
[2319]:  На самом деле сделала?
[2321]:  Я ведь могла сделать что-то еще.
[2324]:  Я могла бы отдать приказ раньше.
[2327]:  Я могла бы заставить команду держаться ближе друг к другу.
[2331]:  В конце концов, я могла бы приказать всем связаться одним тросом.
[2336]:  И на основании чего ты бы все это сделала?
[2339]:  У тебя не было возможности узнать заранее.
[2342]:  Это могла быть Йоханссон или Бек, а может, и ты сама.
[2345]:  Не было вариантов… или все-таки были?
[2349]:  Поглощенная мысленным спором, повторяющимся по кругу,
[2352]:  она позволила Беку направить себя к мостику.
[2355]:  Оказавшись там, Мелисса устроилась за своим рабочим местом.
[2360]:  Бек знал, что лучше не заходить так далеко,
[2362]:  чтобы помочь ей сесть и пристегнуться.
[2365]:  Сигнал терминала входящих сообщений появился на ее экране,
[2369]:  но в этом не было ничего особенного.
[2372]:  В конце концов, НАСА слушала все их переговоры
[2375]:  на всем протяжении эвакуации и старта,
[2378]:  хотя и не могло посоветовать ничего в режиме реального времени
[2382]:  из-за разницы в четыре световых минуты.
[2384]:  НАСА уже получила свой первый краткий отчет о гибели Уотни,
[2389]:  и теперь там, несомненно, хотели ответить.
[2391]:  Не дожидаясь Йоханссон, в обязанности которой
[2394]:  входила загрузка сообщений,
[2396]:  Льюис набрала команду на своем терминале
[2399]:  и нажала кнопку воспроизведения.
[2413]:  На экране появилось изображение человека с квадратной головой
[2417]:  и квадратной челюстью Митча Хендерсона, руководителя полета,
[2421]:  а заодно и главы управления миссиями Аррес 1, 2 и 3.
[2426]:  Странно подумала Льюис.
[2428]:  Не по протоколу.
[2430]:  Почему не наш обычный оператор?
[2434]:  Дани.
[2435]:  Гермес.
[2436]:  Это Митч Хендерсон, — сказал он.
[2438]:  Мы знаем, как сильно ударила по вам потеря Марка Уотни.
[2442]:  Марк был особенным человеком и настоящим астронавтом,
[2445]:  и всем в программе будет его очень не хватать.
[2448]:  Убека перехватило дыхание.
[2450]:  Льюис проигнорировала его и заставила себя дышать нормально.
[2454]:  В конце концов, командиры обязаны сохранять спокойствие в любой обстановке.
[2459]:  Обычно в подобный момент мы концентрируемся исключительно на том,
[2463]:  чтобы как можно быстрее доставить оставшихся домой, на землю.
[2467]:  Продолжил Митч.
[2468]:  Но доктор Капур Венкот Капур, глава проекта Аррес,
[2472]:  поставил вам новую задачу.
[2474]:  Он сделал паузу, глядя на пачку бумаг у себя в руках.
[2478]:  Мы заказали просмотр всех спутниковых фотографий
[2481]:  за период непосредственно до и во время прекращения миссии.
[2485]:  Одна из наших сотрудниц, работающих со спутниками,
[2488]:  Митч покосился на бумаге.
[2490]:  Минди Паркс.
[2492]:  Кое-что заметила на фотографиях, сделанных двумя разными спутниками.
[2497]:  Мы высылаем вам файлы изображений в высоком разрешении,
[2500]:  но вот вам пока первый снимок.
[2502]:  Лицо Митча сменилось полноцветной спутниковой фотографией.
[2506]:  Марс заполнял весь задний план
[2508]:  совершенно другой регион планеты,
[2510]:  вдали от посадочной площадки Арреса-3 на ацидолийской равнине.
[2515]:  Но на переднем плане, там, где ничего не должно было быть,
[2518]:  виднелось что-то розовое.
[2520]:  Розовое и, насколько горстка пикселей могла передать форму,
[2525]:  заострённое, и с двумя штуковинами по бокам,
[2528]:  какие никогда не встречались ни у одного астероида
[2531]:  или метеорита, известных человечеству.
[2534]:  Блестящий пастельный цвет, чем бы оно ни было,
[2538]:  бросался в глаза, словно клок здоровой кожи на лице,
[2542]:  покрытым вековыми струбьями Марса.
[2545]:  Второе изображение не столь удачное, сказал Митч,
[2548]:  поэтому мы не собираемся встраивать его в это видео,
[2551]:  но оно показывает объект размером с МВМ
[2554]:  в посадочной конфигурации,
[2556]:  входящей в пыльную бурю за семь минут до вашего старта.
[2560]:  Касаемо прерывания вашей миссии,
[2563]:  по словам Паркс, время и направление по этим двум снимкам
[2566]:  дают приблизительную траекторию для объекта,
[2569]:  который должен был врезаться в Марс в десяти километрах
[2572]:  к северо-западу от дома примерно за две минуты
[2575]:  до вашего взлёта.
[2576]:  Ну, плюс-минус тридцать километров.
[2579]:  Очевидно, этого не произошло, иначе вы бы заметили.
[2583]:  Льюис так пристально пожирала глазами
[2585]:  маленькую розовую штучку на фотографии,
[2588]:  что всё ещё видела её, даже когда камера снова
[2591]:  переключилась на Митча Хендерсона.
[2594]:  «Если говорить откровенно, мы не знаем, что это такое,
[2597]:  и боимся даже предполагать», — продолжил Митч.
[2600]:  Но доктор Капур убедил Тэдди Сандерса,
[2602]:  нынешнего руководителя НАСА,
[2604]:  что, по крайней мере, это будет беспрецедентный шанс
[2607]:  наблюдать выброс породы сразу же после удара метеорита
[2611]:  по поверхности Марса.
[2613]:  «Всякие дальнейшие предположения», — добавил он,
[2616]:  сжав губы в явном неодобрении того, что вынужден был говорить,
[2620]:  «в настоящее время рассматриваются как необоснованные спекуляции и домыслы».
[2625]:  «Необоснованные спекуляции?»
[2628]:  «Домыслы?», — подумала Льюис.
[2630]:  «Это явно не фрагмент астероида.
[2633]:  Вполне возможно, что объект из пояса Койпера и будет такого цвета,
[2637]:  но мы бы видели его кометный хвост ещё несколько месяцев назад,
[2642]:  если бы он вообще смог прожить столь долго».
[2645]:  Итак, что же у нас остаётся,
[2647]:  если эта штука не естественного происхождения?
[2651]:  «Я отдельно хочу подчеркнуть», — добавил Мич,
[2654]:  «что это отнюдь не обман и не шутка.
[2656]:  Никому здесь в НАСА даже в голову не взбредёт ничего подобного
[2660]:  сразу же после потери одного из нас.
[2663]:  Прикреплённые изображения являются официальными
[2666]:  и не подвергались правке.
[2667]:  Вы их получите в том же виде, что мы их получили со спутников.
[2671]:  Это всё правда. И очень серьёзно.
[2674]:  Настолько серьёзно, что мы пока не будем возвращать вас домой».
[2678]:  Мич вытащил один лист из пачки бумаг у себя в руке
[2681]:  и внимательно посмотрел на него.
[2683]:  В это сообщение включен ряд возможных программ корректировки орбиты,
[2687]:  которые вы можете выбрать в зависимости от того,
[2689]:  сколько времени вам понадобится на предстартовую подготовку Гермеса.
[2694]:  Мы выведем вас на орбиту настолько низкую, насколько вообще посмеем.
[2698]:  Камеры Гермеса не хуже или даже лучше, чем на любом из спутников,
[2702]:  а благодаря ионным двигателям вы можете нырнуть к границе атмосферы Марса,
[2707]:  не рискуя сойти с орбиты по меньшей мере в течение недели,
[2711]:  на которую мы продлим вашу миссию.
[2713]:  Ваша задача заключается в том, чтобы детально исследовать область
[2717]:  предполагаемого падения объекта на площади,
[2720]:  в два раза превышающий предполагаемый эллипс рассеивания.
[2724]:  Как только вы найдёте его, сделайте столько снимков, сколько сможете,
[2728]:  и немедленно отправьте их нам.
[2731]:  Мич прочистил горло, выглядел он при этом явно смущённым и добавил.
[2737]:  Очевидно, эта область также захватит в себя и местоположение дома.
[2741]:  Доктор Капур также хочет сфотографировать дом
[2744]:  с целью повторного использования жилища
[2746]:  и неиспользованных материалов для будущей миссии Арес.
[2750]:  Но в свете потери Марка Уотни эта задача совершенно не обязательно.
[2755]:  Если вам это будет неудобно, мы оставим эту работу спутником.
[2760]:  «Кроме того», — сказал Мич, слегка повышая тон и произнося каждое слово медленно,
[2766]:  придавая им дополнительный вес,
[2768]:  вы не должны пока отстыковывать марсианский взлётный модуль.
[2772]:  Мы хотим с помощью Гермеса вывести его на орбиту,
[2775]:  которая будет пересекать область поиска как можно чаще.
[2778]:  Мы всё ещё работаем над процедурой для этого
[2780]:  и выдадим её вам, как только она будет готова.
[2783]:  Я ещё раз говорю, нам горько слышать о Марке Уотни.
[2787]:  И если кто-то из нас в НАСА может чем-то помочь, сообщите нам.
[2791]:  Я останусь на месте оператора связи на весь день,
[2794]:  чтобы ответить на любые ваши вопросы.
[2796]:  Хендерсон, конец связи.
[2799]:  Видео закончилось.
[2800]:  Льюис покачала головой,
[2802]:  потрясённая, смущённая, печальная и возбуждённая одновременно.
[2807]:  Это может быть именно то, на что прежде всего надеялся любой астронавт, но…
[2813]:  Но…
[2814]:  Командир, хочешь?
[2816]:  «Я соберу остальных членов экипажа», — тихо спросил Бек.
[2820]:  «Я думаю, что им всем нужно это увидеть».
[2823]:  Льюис кивнула.
[2824]:  «Да.
[2825]:  Будь добр.
[2826]:  Прямо сейчас».
[2828]:  Она подавила рыдание, снова глубоко вздохнув
[2831]:  и открыла у себя на экране два изображения, которые упомянул Митч.
[2835]:  Маленькая заострённая штучка на одной картинке
[2838]:  и менее очевидная розовая пятнышка,
[2841]:  толкающая перед собой чудовищно мощную ударную волну
[2845]:  сквозь задний фронт пыльной бури.
[2847]:  «Ну почему?» — подумала она.
[2849]:  «Почему самое большое открытие в истории космических полётов
[2853]:  должно произойти именно сейчас?»
[2855]:  RS-3. Запись в журнале.
[2857]:  Sol7.
[2859]:  «Ну и кто скажет, что мне не повезло?
[2862]:  Вот я, Марк Отни,
[2863]:  первый человек, встретивший разумную жизнь из другого мира.
[2867]:  Мне повезло.
[2869]:  Проблема лишь в том, что прежде чем кто-нибудь об этом узнает,
[2872]:  и я, и эта самая разумная жизнь,
[2875]:  будем давным-давно мертвы.
[2877]:  Я набираю это, пока мы тут едим поздний завтрак или ранний обед.
[2881]:  Никто из нас не знает, могут ли мои гости усваивать земную пищу,
[2885]:  но, судя по тому, что я понял, выбор у нас не слишком большой.
[2889]:  Так или иначе, это всё уравновешивает пять моих товарищей.
[2894]:  По команде улетели на гермес,
[2896]:  и тут же «привет» являются пять рапришельцев,
[2899]:  чтобы занять их места за обеденным столом.
[2902]:  Я знаю, о чём вы сейчас думаете.
[2904]:  Да, я должен бережно распределять свою еду,
[2908]:  чтобы растянуть её на подольше,
[2910]:  а не раздавать её межпланетным бродягам.
[2913]:  И вы, в общем-то, правы.
[2914]:  Но если я правильно понял те картинки, что рисовали мне эти ребята,
[2919]:  они такие же потерпевшие крушения, как и я,
[2922]:  и полагаю, наши общие шансы на выживание лишь увеличатся,
[2926]:  если мы будем работать вместе.
[2928]:  А в худшем случае я же всегда могу убить их и съесть, верно?
[2934]:  Ох, я только что посмотрела одно из них
[2937]:  в эти большие, милые, доверчивые глаза,
[2941]:  и мне стало ужасно стыдно за эту дурацкую шутку.
[2944]:  Нет, не буду я никого есть,
[2946]:  даже если они погибнут от естественных причин.
[2949]:  Или отстряпни НАСА, что тоже вероятно,
[2952]:  хотя никто пока ещё не хватается за горло и не хрипит.
[2956]:  Очевидно, что мы не говорим на языке друг друга.
[2959]:  Они говорят что-то, что для меня немного похоже на Валийский.
[2963]:  Ну, во всяком случае, как я себе его представляю,
[2966]:  я ведь никогда его не слышал.
[2968]:  Но инопланетный язык содержит все эти высокие носовые гласные звуки,
[2972]:  словно ты полощешь горло, а половина согласных — это L.
[2977]:  Так что мы общаемся при помощи рисунков на доске.
[2980]:  Вроде как вечеринка-соревнования художников-карикатуристов,
[2983]:  за исключением того, что мы все в одной команде,
[2986]:  и мы играем не на деньги.
[2988]:  Я уже говорил, что четверо из пяти пришельцев
[2990]:  могут держать маркер только зубами?
[2993]:  Не хочу даже думать, сколько клеток мозга они теряют
[2996]:  из-за паров растворителя в чернилах каждый раз,
[2999]:  когда рисуют картинку.
[3001]:  Насколько я смог понять, история их такова.
[3004]:  Они с планетой, которая очень похожа на Землю,
[3007]:  но с совершенно другими континентами.
[3010]:  Они взлетели на своём корабле,
[3012]:  чтобы отправиться к соседней планете в их солнечной системе,
[3015]:  в точности как мы на Гермесе.
[3018]:  Что-то в их корабле сломалось, не знаю точно что.
[3021]:  Инопланетянин, рисующий картинку, просто изобразил чёрный дым,
[3025]:  идущий из хвоста их маленькой ракеты,
[3028]:  а один из других инопланетян начал спорить по этому поводу.
[3031]:  Я думаю, она хотела подчеркнуть,
[3033]:  что дым в космосе выглядит совсем иначе,
[3036]:  а тот, кто рисовал картинку,
[3037]:  хотел, чтобы всё оставалось как можно проще.
[3041]:  Я тут подумал, что эти инопланетяне должны быть очень похожи на нас.
[3045]:  Расслед чёрного дыма в их культуре означает «мой самолёт сломан»,
[3049]:  так же как в нашей.
[3051]:  Интересно, какие ещё сходства окажутся в наших культурах.
[3054]:  Ещё интересно, не стоит ли мне подчистить историю браузера на всякий случай?
[3060]:  Так или иначе, чтобы не сломалось на их корабле,
[3063]:  оно забросило его на Марс, а вовсе не туда, куда они летели.
[3067]:  И бум!
[3070]:  Они приземлились тут.
[3072]:  А вот следующая часть осталась не вполне понятна.
[3075]:  Все инопланетяне попробовали нарисовать по две или три разные картинки,
[3080]:  чтобы объяснить, что произошло дальше,
[3082]:  но ни одна из них не донесла до меня смысла.
[3085]:  Моё лучшее предположение, что авария как-то уничтожила их корабль.
[3090]:  Может быть, в корпусе есть дыра,
[3092]:  возможно, их кислородные баллоны разорваны, я не понял.
[3096]:  Но потом они показали мне дисплей внутри своих скафандров,
[3099]:  в том числе и то, что выглядит почти точно,
[3102]:  как старый навигационный шар эпохи Аполлона.
[3105]:  Затем нарисовали его с мигающим огоньком,
[3107]:  а затем пришельцев, подходящих к грубо нарисованному дому.
[3112]:  И так очевидно, что маяк дома всё ещё работает.
[3115]:  Это, наверное, единственное устройство связи, которое у меня уцелело.
[3119]:  По радио не слышно ничего, кроме помех, что неудивительно,
[3123]:  ведь во время шторма меня проткнуло ничем-нибудь,
[3125]:  о куском антенны.
[3127]:  К тому же, во время вчерашней прогулки назад в дом я видел,
[3130]:  что главной спутниковой тарелки больше нет.
[3133]:  Таким образом, всё, что осталось, это маяк,
[3136]:  который имеет собственную внутреннюю антенну.
[3139]:  Но он рассчитан только на 25 километров,
[3142]:  и он не может модулировать сигнал.
[3144]:  Так что я думаю, они тут застряли,
[3147]:  и застряли они с таким соседом, как я.
[3150]:  Последний раз, когда мне подобным образом выбирали соседей по комнате,
[3154]:  был в общежитии на первом курсе Чикагского университета.
[3157]:  С одной стороны, никакого уединения на случай,
[3161]:  если придёт моя несуществующая марсианская девушка,
[3164]:  которая живёт в Канаде.
[3166]:  С другой — нет проблем найти игроков для моей компании D&D.
[3171]:  Чёрт, теперь я жалею, что не захватил 100 с собой набор дайсов.
[3176]:  Итак, кто же мои новые соседи, спросите вы?
[3180]:  Ну, я пока не знаю их имён,
[3182]:  но я могу довольно хорошо их описать.
[3185]:  По крайней мере так, что, когда вы посмотрите на фотографии,
[3188]:  которые я сделал, то узнаете, о ком я говорю.
[3191]:  Четверо из них — четвероногие.
[3193]:  Точнее, четверокопытные.
[3195]:  Да-да, у них четыре копыта и нет рук.
[3199]:  И копыта, вовсе не раздвоенная, то, что у них есть,
[3203]:  больше похоже на конские копыта,
[3205]:  если не считать того, что они не чёрные и блестящие,
[3208]:  а того же цвета, что и их шкура.
[3210]:  И, кстати, говоря о шкуре, у троих из них цвет меха такой,
[3214]:  что напрочь не вяжется с нашими понятиями о животном мире.
[3218]:  Но опять же, это инопланетяне, так что кто их знает?
[3223]:  Чёрт, я наблюдал, как эти существа снимали свои скафандры
[3227]:  со всеми этими герма-разъёмами и километрами молний-скафандры.
[3231]:  Кстати, далеко не такие совершенные по конструкции,
[3234]:  как у меня, и всё это без помощи от меня или друг друга.
[3237]:  Ни тебе больших пальцев, ни просто пальцев и без проблем.
[3242]:  Я до сих пор не понимаю, как, чёрт возьми, они это сделали.
[3246]:  Каким-то образом они могут просто взяться за молнию,
[3248]:  копытом и потянуть её.
[3251]:  Видимо, потому что пришельцы.
[3253]:  Что-то мне подсказывает Ает, что я буду часто говорить
[3257]:  «потому что пришельцы».
[3259]:  Первая из этих маленьких инопланетных лошадок розовая.
[3262]:  Розовая, словно домик для Барби вашей младшей сестрёнки.
[3266]:  У неё блондинистые гривы и хвост.
[3269]:  Она самая дружелюбная из всей Ватаги.
[3272]:  Кроме того, именно она сделала большую часть рисунков
[3275]:  во время наших попыток общения.
[3278]:  Каждый раз, когда пришельцы обсуждали что-то или спорили,
[3281]:  за ней было последнее слово, так что я предполагаю,
[3285]:  что она их лидер, их эквивалент команды Рэльюис.
[3288]:  У неё на заднице есть что-то вроде логотипа.
[3291]:  Я не хочу слишком пристально его изучать, чтобы не нарваться
[3294]:  на первый межпланетный иск о сексуальных домогательствах,
[3298]:  но он вроде как похож на гроздь вишен.
[3301]:  Но, Марк, конечно же, скажете вы, это же инопланетяне.
[3306]:  Биосфера их планеты должна быть совершенно отличной
[3308]:  от биосферы Земли.
[3310]:  Как у неё может быть изображение вишни на заднице?
[3314]:  На что я вам отвечу.
[3315]:  Просто они выглядят как вишни, поэтому так я и буду
[3318]:  её называть вишней.
[3321]:  Потом есть вторая та, которая так горячилась, когда
[3324]:  мне нарисовали дым, валящий из космического корабля.
[3327]:  У этой есть рог, прямо как у единорога, и это, как
[3332]:  я предполагаю, должно означать, что она принадлежит к другому
[3336]:  биологическому виду.
[3337]:  Но я могу ошибаться.
[3339]:  Может быть, у них эти рога отваливаются, как у оленей,
[3343]:  или может быть, она генно-модифицированная «Убер» что-то там, а может,
[3349]:  это сексуальная игрушка, которую она зачем-то решила
[3351]:  вживить себе в лоб.
[3353]:  Но я остановлюсь на варианте, что это рог единорога, потому
[3357]:  что её логотип совсем не вишня, а и взаправду некая
[3360]:  абстрактная звёздочка и волнистая линия, навевающая
[3363]:  мысли о магии.
[3365]:  Так что пока я зову её Магика.
[3368]:  Кроме того, помимо рога у Магики, шерсть этого бледно-фиолетового
[3372]:  оттенка, название которого я не знаю.
[3376]:  Её гриво и хвост тёмно-фиолетовые, с прожилками вроде бирюзового
[3380]:  или какого-то подобного цвета, я тоже не знаю, какого
[3383]:  именно.
[3384]:  Она всё время выглядит уставшей, а другие пришельцы немного
[3388]:  беспокоятся о ней.
[3390]:  Надеюсь, у неё не было внутренних повреждений во время
[3392]:  аварии.
[3393]:  Ещё одна вещь о Магике.
[3395]:  Первое, что сделали мои посетители после того,
[3398]:  как они вошли и сняли свои костюмы, это принялись искать
[3401]:  туалет.
[3402]:  И можно ли их в этом винить?
[3404]:  Ведь их последняя остановка на Пи-Пи была в другой солнечной
[3408]:  системе.
[3410]:  Но после этого Магика подошла ко мне и принялась отстукивать
[3413]:  копытом натуральные числа.
[3415]:  Потом простые числа, затем квадраты, затем кубы, затем
[3419]:  последовательность Фибоначчи.
[3422]:  Очевидно, это может означать только одно.
[3425]:  Передо мной фанатка научной фантастики, которая перечитала
[3428]:  все классические истории о первом контакте.
[3431]:  Похоже, все хорошие вещи действительно универсальные.
[3436]:  Теперь, что касается третьего пришельца.
[3439]:  Помните, я говорил, что розовая похожа на Льюис?
